date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:47	700/700	---M--	200	added ('OK')	text/html	etag:%22c61b7252dcbdab96f0e1cc32c0bc8b90%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5nYW1lZmxhcmUuY29tLyIsInBhcmVudERvbWFpbiI6ImdhbWVmbGFyZS5jb20iLCJ0b3BEb21haW4iOiJnYW1lZmxhcmUuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xOCJ9	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index4e81.html	(from )
18:31:47	78/78	---M--	200	added ('OK')	text/plain	etag:%229f540670448f7fdc7b5e5baaa3da0904%22	https://html5.gamedistribution.com/robots.txt		(from )
18:31:48	918/918	---M--	200	added ('OK')	text/css	etag:%2271e7697733ab561cc0b42e3f1db58c6d%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/style.css	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/style.css	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5nYW1lZmxhcmUuY29tLyIsInBhcmVudERvbWFpbiI6ImdhbWVmbGFyZS5jb20iLCJ0b3BEb21haW4iOiJnYW1lZmxhcmUuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xOCJ9)
18:31:48	89476/89476	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/jquery-3.5.1.min.js	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/jquery-3.5.1.min.js	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5nYW1lZmxhcmUuY29tLyIsInBhcmVudERvbWFpbiI6ImdhbWVmbGFyZS5jb20iLCJ0b3BEb21haW4iOiJnYW1lZmxhcmUuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xOCJ9)
18:31:48	1040/1040	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221153f233416c7225ab9ef0d0262e217d%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/UnityProgress.js	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/UnityProgress.js	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5nYW1lZmxhcmUuY29tLyIsInBhcmVudERvbWFpbiI6ImdhbWVmbGFyZS5jb20iLCJ0b3BEb21haW4iOiJnYW1lZmxhcmUuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xOCJ9)
18:31:48	159423/159423	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22acde958c16c8e8b6ab4f5a601d4d4f88%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/Build/UnityLoader.js	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/Build/UnityLoader.js	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5nYW1lZmxhcmUuY29tLyIsInBhcmVudERvbWFpbiI6ImdhbWVmbGFyZS5jb20iLCJ0b3BEb21haW4iOiJnYW1lZmxhcmUuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xOCJ9)
18:31:49	115850/115850	---M--	200	added ('OK')	image/jpeg	etag:%22eae576219467d4d4d49e44178177f478%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/background.jpg	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/background.jpg	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/style.css)
18:31:49	947/947	---M--	200	added ('OK')	image/png	etag:%227966d24c022fa9b536d5b71887aa7f10%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/progressEmpty.png	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/progressEmpty.png	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/style.css)
18:31:49	944/944	---M--	200	added ('OK')	image/png	etag:%2213d85a0dada8a4752200fdc5c69781b7%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/progressFull.png	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/progressFull.png	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/style.css)
18:31:50	1005/1005	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22c459af688a89193941f13f5962a0cb02%22	https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/PositionProgress.js	C:/Users/user/Downloads/SDASDFASDFASDFASD/html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/PositionProgress.js	(from https://html5.gamedistribution.com/rvvASMiM/0140599dec0645229f039926e9ae168c/TemplateData/UnityProgress.js)
